fid,username,displayName,pfp,followerCount,followingCount,location
2,v,Varun Srinivasan,https://i.seadn.io/gae/sYAr036bd0bRpj7OX6B-F-MqLGznVkK3--DSneL_BT5GX4NZJ3Zu91PgjpD9-xuVJtHq0qirJfPZeMKrahz8Us2Tj_X8qdNPYC-imqs?w=500&auto=format,397235,1294,"Los Angeles, CA, USA"
5774,tldr,tldr (tim reilly),https://i.seadn.io/gae/JtOZdbuDX2gmQziB0tJn0W9KR9Ym3OOnI0l53a1ELghw47sOOBJplCdfA-_rXyNBrp3Ula18hFe5gxtLsFY7t5y1VUd8kmNQfNBj?w=500&auto=format,200916,1396,"New York, NY, USA"
2134,kazi,Kazi ,https://i.imgur.com/5EGzNvq.jpg,48374,1596,"San Francisco, CA, USA"
196387,callmejojo,Jojo ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/ccbcc5d7-7f00-4a52-2b9e-ec6c4a381100/rectcrop3,5332,1671,
3,dwr.eth,Dan Romero,"https://res.cloudinary.com/merkle-manufactory/image/fetch/c_fill,f_png,w_256/https://lh3.googleusercontent.com/MyUBL0xHzMeBu7DXQAqv0bM9y6s4i4qjnhcXz5fxZKS3gwWgtamxxmxzCJX7m2cuYeGalyseCA2Y6OBKDMR06TWg2uwknnhdkDA1AA",474873,3382,"Los Angeles, CA, USA"
6841,deodad,Tony D’Addeo ,https://i.imgur.com/dMoIan7.jpg,12234,473,"Austin, TX, USA"
3017,rafi,Rafi,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/2bb7c55c-c793-4e4e-f736-29212918ce00/original,47701,622,"Warsaw, Poland"
780900,afrochicks,Naomi,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/27da7eba-4462-4718-1741-16a7f8102f00/rectcrop3,6750,262,"Manchester, UK"
1287,july,July,https://i.seadn.io/gcs/files/ed56e6b9a1b22720ce7490524db333e0.jpg?w=500&auto=format,193894,1652,
270504,proxystudio.eth,proxy,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/fb32d670-bebb-40a3-6fc5-a9a3b7b5b000/original,21755,1719,"Dharamshala, Himachal Pradesh, India"
325,vm,Victor Ma 🧾,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/9b2a9adf-6dbc-4243-408a-a9d8b104f100/original,114548,1016,"Brooklyn, NY, USA"
236727,sinusoidalsnail,Sine,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/84722422-296f-4921-74aa-b88ee65d3a00/original,1837,542,
239,ted,ted (not lasso),https://openseauserdata.com/files/fd28c65d9b5192168fb259009a3afd36.png,363175,966,"Los Angeles, CA, USA"
7143,six,six,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/aa2eeaab-6d7c-4245-f425-22e7326ad400/rectcrop3,75399,986,
3,dwr.eth,Dan Romero,"https://res.cloudinary.com/merkle-manufactory/image/fetch/c_fill,f_png,w_256/https://lh3.googleusercontent.com/MyUBL0xHzMeBu7DXQAqv0bM9y6s4i4qjnhcXz5fxZKS3gwWgtamxxmxzCJX7m2cuYeGalyseCA2Y6OBKDMR06TWg2uwknnhdkDA1AA",474873,3382,"Los Angeles, CA, USA"
1689,stephancill,Stephan,https://i.imgur.com/njEtQOM.jpg,165754,1023,"Cape Town, South Africa"
1580,mxmnr,Max Miner,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/2c82d10c-baa6-4899-43d5-4d53fb84c800/original,1519,273,"Austin, TX, USA"
11188,polynya,polynya,https://i.imgur.com/7vUGwdo.png,325709,126,
4407,keccers.eth,keccers,https://i.imgur.com/kynnpYw.jpg,172898,1202,
451,pfista,Michael Pfister,https://i.seadn.io/gcs/files/d172183e374ee8690e9b447dadb49b87.gif?w=500&auto=format,238900,657,"San Diego, CA, USA"
1626,mcbain,McBain ,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/6b5f14ba-508a-4090-abca-dae88b6e6d00/original,130124,1169,"Sacramento, CA, USA"
12,linda,Linda Xie,https://i.seadn.io/gae/r6CW_kgQygQhI7-4JdWt_Nbf_bjFNnEM7dSns1nZGrijJvUMaLnpAFuBLwjsHXTkyX8zfgpRJCYibtm7ojeA2_ASQwSJgh7yKEFVMOI?w=500&auto=format,379794,656,"New York, NY, USA"
1287,july,July,https://i.seadn.io/gcs/files/ed56e6b9a1b22720ce7490524db333e0.jpg?w=500&auto=format,193894,1652,
403619,maretus.eth,Maretus,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/451b0fb0-768d-47e9-c9a9-227a28336e00/rectcrop3,24589,3174,"Ocala, FL, USA"
16148,eulerlagrange.eth,EulerLagrange.eth,https://imagedelivery.net/BXluQx4ige9GuW0Ia56BHw/d20697e6-f714-4c5a-aad3-5ba1da907100/rectcrop3,233882,587,"Brooklyn, NY, USA"
